Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series
8/10/2020,796.9,808.9,795.8,804.8,804.60,10.90,1.37%,"184,215","399,373",Z20
9/10/2020,805.4,806.0,793.7,799.0,799.10,-5.50,-0.68%,"163,425","406,477",Z20
12/10/2020,800.0,804.9,795.6,803.6,803.70,4.60,0.58%,"158,260","400,769",Z20
14/10/2020,802.0,802.2,787.7,794.0,793.80,-9.90,-1.23%,"182,276","401,742",Z20
15/10/2020,784.7,787.0,779.7,780.8,780.90,-12.90,-1.63%,"168,269","395,066",Z20
16/10/2020,783.1,784.2,771.1,776.2,776.10,-4.80,-0.61%,"197,636","401,492",Z20
19/10/2020,770.3,771.7,757.5,759.2,759.30,-16.80,-2.16%,"215,008","404,798",Z20
20/10/2020,760.2,764.8,753.8,757.4,757.80,-1.50,-0.20%,"219,934","412,153",Z20
21/10/2020,760.9,764.3,758.2,762.2,762.80,5.00,0.66%,"179,073","405,581",Z20
22/10/2020,759.1,770.0,755.5,762.7,762.70,-0.10,-0.01%,"245,741","402,635",Z20
26/10/2020,757.1,761.3,753.0,754.8,755.60,-7.10,-0.93%,"172,179","400,355",Z20
27/10/2020,750.1,757.7,746.2,755.1,755.30,-0.30,-0.04%,"214,928","411,916",Z20
28/10/2020,751.5,760.4,751.2,752.5,752.80,-2.50,-0.33%,"191,954","418,152",Z20
29/10/2020,748.4,751.7,745.3,749.8,749.80,-3.00,-0.40%,"203,636","413,024",Z20
30/10/2020,747.5,749.3,734.6,744.0,744.10,-5.70,-0.76%,"233,163","423,067",Z20
2/11/2020,744.5,748.9,740.1,748.2,748.10,4.00,0.54%,"171,904","422,309",Z20
